species,genus,lon,lat
Austrocedrus_chilensis,Austrocedrus,-70.7833,-34.7667
Austrocedrus_chilensis,Austrocedrus,-70.8333,-34.8333
Austrocedrus_chilensis,Austrocedrus,-70.4167,-34.9333
Austrocedrus_chilensis,Austrocedrus,-71.3833,-34.9833
Austrocedrus_chilensis,Austrocedrus,-70.7667,-34.9833
Austrocedrus_chilensis,Austrocedrus,-71.07,-35.23
Austrocedrus_chilensis,Austrocedrus,-70.5833,-35.25
Austrocedrus_chilensis,Austrocedrus,-70.9167,-35.3333
Austrocedrus_chilensis,Austrocedrus,-70.6333,-35.4167
Austrocedrus_chilensis,Austrocedrus,-71.8833,-35.4667
Austrocedrus_chilensis,Austrocedrus,-71.23,-35.56
Austrocedrus_chilensis,Austrocedrus,-71.0517,-35.6178
Austrocedrus_chilensis,Austrocedrus,-71.3333,-35.7833
Austrocedrus_chilensis,Austrocedrus,-70.9886,-35.8819
Austrocedrus_chilensis,Austrocedrus,-70.6403,-35.9141
Austrocedrus_chilensis,Austrocedrus,-71.1833,-36.1167
Austrocedrus_chilensis,Austrocedrus,-71.2333,-36.2333
Austrocedrus_chilensis,Austrocedrus,-71.55,-36.55
Austrocedrus_chilensis,Austrocedrus,-71.3984,-36.6393
Austrocedrus_chilensis,Austrocedrus,-71.2801,-36.6704
Austrocedrus_chilensis,Austrocedrus,-71.6291,-36.8862
Austrocedrus_chilensis,Austrocedrus,-71.5073,-36.9753
Austrocedrus_chilensis,Austrocedrus,-73.1833,-37.25
Austrocedrus_chilensis,Austrocedrus,-71.4667,-37.25
Austrocedrus_chilensis,Austrocedrus,-71.5894,-37.3132
Austrocedrus_chilensis,Austrocedrus,-71.5167,-37.3333
Austrocedrus_chilensis,Austrocedrus,-71.3333,-37.35
Austrocedrus_chilensis,Austrocedrus,-71.4167,-37.3833
Austrocedrus_chilensis,Austrocedrus,-71.4564,-37.4108
Austrocedrus_chilensis,Austrocedrus,-72.8333,-37.55
Austrocedrus_chilensis,Austrocedrus,-71.2833,-37.6833
Austrocedrus_chilensis,Austrocedrus,-73.0333,-37.7167
Austrocedrus_chilensis,Austrocedrus,-71.5333,-37.7833
Austrocedrus_chilensis,Austrocedrus,-72.8656,-37.8111
Austrocedrus_chilensis,Austrocedrus,-71.2833,-37.8333
Austrocedrus_chilensis,Austrocedrus,-73.2667,-37.95
Austrocedrus_chilensis,Austrocedrus,-71.7167,-38.2333
Austrocedrus_chilensis,Austrocedrus,-72.51,-38.2492
Austrocedrus_chilensis,Austrocedrus,-72.3833,-38.6333
Austrocedrus_chilensis,Austrocedrus,-71.7167,-38.7667
Austrocedrus_chilensis,Austrocedrus,-71.65,-38.8333
Austrocedrus_chilensis,Austrocedrus,-72.0333,-38.9167
Austrocedrus_chilensis,Austrocedrus,-71.95,-39.2833
Austrocedrus_chilensis,Austrocedrus,-71.7333,-39.3667
Austrocedrus_chilensis,Austrocedrus,-71.95,-39.4167
Austrocedrus_chilensis,Austrocedrus,-72.1667,-39.5167
Austrocedrus_chilensis,Austrocedrus,-73.25,-39.7667
Austrocedrus_chilensis,Austrocedrus,-71.4667,-39.7667
Austrocedrus_chilensis,Austrocedrus,-71.42,-39.92
Austrocedrus_chilensis,Austrocedrus,-71.7198,-40.0279
Austrocedrus_chilensis,Austrocedrus,-71.35,-40.17
Austrocedrus_chilensis,Austrocedrus,-72.2833,-40.2333
Austrocedrus_chilensis,Austrocedrus,-73.4833,-40.2667
Austrocedrus_chilensis,Austrocedrus,-72.45,-40.3167
Austrocedrus_chilensis,Austrocedrus,-72.92,-40.33
Austrocedrus_chilensis,Austrocedrus,-73.4167,-40.3333
Austrocedrus_chilensis,Austrocedrus,-71.23,-40.35
Austrocedrus_chilensis,Austrocedrus,-71.4594,-40.6356
Austrocedrus_chilensis,Austrocedrus,-72.4333,-40.65
Austrocedrus_chilensis,Austrocedrus,-71.0667,-40.75
Austrocedrus_chilensis,Austrocedrus,-71.6653,-40.7525
Austrocedrus_chilensis,Austrocedrus,-71.5333,-40.8333
Austrocedrus_chilensis,Austrocedrus,-71.5333,-40.9333
Austrocedrus_chilensis,Austrocedrus,-71.8167,-41.0333
Austrocedrus_chilensis,Austrocedrus,-71.5333,-41.05
Austrocedrus_chilensis,Austrocedrus,-70.67,-41.13
Austrocedrus_chilensis,Austrocedrus,-71.3125,-41.1433
Austrocedrus_chilensis,Austrocedrus,-71.3833,-41.1833
Austrocedrus_chilensis,Austrocedrus,-71.85,-41.22
Austrocedrus_chilensis,Austrocedrus,-72.97,-41.32
Austrocedrus_chilensis,Austrocedrus,-71.7372,-41.3808
Austrocedrus_chilensis,Austrocedrus,-71.55,-41.43
Austrocedrus_chilensis,Austrocedrus,-71.4472,-41.6947
Austrocedrus_chilensis,Austrocedrus,-71.5167,-41.9667
Austrocedrus_chilensis,Austrocedrus,-71.838,-41.9839
Austrocedrus_chilensis,Austrocedrus,-71.5167,-42.0167
Austrocedrus_chilensis,Austrocedrus,-71.69,-42.18
Austrocedrus_chilensis,Austrocedrus,-70.735,-42.2919
Austrocedrus_chilensis,Austrocedrus,-71.605,-42.4631
Austrocedrus_chilensis,Austrocedrus,-71.45,-42.5167
Austrocedrus_chilensis,Austrocedrus,-71.598,-42.8833
Austrocedrus_chilensis,Austrocedrus,-71.2631,-42.9625
Austrocedrus_chilensis,Austrocedrus,-71.35,-42.9833
Austrocedrus_chilensis,Austrocedrus,-71.5894,-42.9964
Austrocedrus_chilensis,Austrocedrus,-71.47,-43.07
Austrocedrus_chilensis,Austrocedrus,-71.4167,-43.0833
Austrocedrus_chilensis,Austrocedrus,-71.4667,-43.4333
Callitris_columellaris,Callitris,132.9333,-11.5333
Callitris_columellaris,Callitris,132.75,-11.57
Callitris_columellaris,Callitris,130.75,-11.5833
Callitris_columellaris,Callitris,135.72,-11.98
Callitris_columellaris,Callitris,143.1833,-12.7167
Callitris_columellaris,Callitris,143.13,-12.77
Callitris_columellaris,Callitris,131.53,-13.62
Callitris_columellaris,Callitris,136.47,-13.95
Callitris_columellaris,Callitris,126.3814,-14.0314
Callitris_columellaris,Callitris,126.4694,-14.1639
Callitris_columellaris,Callitris,126.67,-14.25
Callitris_columellaris,Callitris,126.9167,-14.7167
Callitris_columellaris,Callitris,126.2219,-14.8053
Callitris_columellaris,Callitris,126.9167,-14.8167
Callitris_columellaris,Callitris,125.95,-14.9333
Callitris_columellaris,Callitris,144.0177,-15.0652
Callitris_columellaris,Callitris,126.7167,-15.2667
Callitris_columellaris,Callitris,125.0667,-15.2833
Callitris_columellaris,Callitris,124.5333,-15.3167
Callitris_columellaris,Callitris,124.5961,-15.3875
Callitris_columellaris,Callitris,125.4833,-15.4667
Callitris_columellaris,Callitris,127.361,-15.469
Callitris_columellaris,Callitris,129.0833,-15.7667
Callitris_columellaris,Callitris,125.95,-15.8117
Callitris_columellaris,Callitris,128.15,-15.9167
Callitris_columellaris,Callitris,126.4833,-15.9833
Callitris_columellaris,Callitris,127.0167,-15.9833
Callitris_columellaris,Callitris,126.2833,-16.0167
Callitris_columellaris,Callitris,127.25,-16.1667
Callitris_columellaris,Callitris,127.3228,-16.1911
Callitris_columellaris,Callitris,124.9833,-16.2667
Callitris_columellaris,Callitris,124.23,-16.3734
Callitris_columellaris,Callitris,126.4003,-16.5011
Callitris_columellaris,Callitris,125.4617,-16.7183
Callitris_columellaris,Callitris,125.8679,-16.813
Callitris_columellaris,Callitris,144.8333,-16.85
Callitris_columellaris,Callitris,126.6814,-17.0562
Callitris_columellaris,Callitris,145.3333,-17.1667
Callitris_columellaris,Callitris,145.02,-17.18
Callitris_columellaris,Callitris,125.1817,-17.1964
Callitris_columellaris,Callitris,126.7142,-17.2633
Callitris_columellaris,Callitris,145.2167,-17.3333
Callitris_columellaris,Callitris,125.3781,-17.35
Callitris_columellaris,Callitris,127.2667,-17.3833
Callitris_columellaris,Callitris,145.2167,-17.5333
Callitris_columellaris,Callitris,145.07,-17.68
Callitris_columellaris,Callitris,144.83,-17.92
Callitris_columellaris,Callitris,143.92,-19.08
Callitris_columellaris,Callitris,149.2094,-21.2734
Callitris_columellaris,Callitris,118.8847,-22.0444
Callitris_columellaris,Callitris,118.0354,-22.4178
Callitris_columellaris,Callitris,118.5503,-22.4768
Callitris_columellaris,Callitris,118.6167,-22.4833
Callitris_columellaris,Callitris,118.6333,-22.5333
Callitris_columellaris,Callitris,133.3344,-22.5654
Callitris_columellaris,Callitris,118.1397,-22.6083
Callitris_columellaris,Callitris,118.5445,-22.6482
Callitris_columellaris,Callitris,117.76,-22.7203
Callitris_columellaris,Callitris,136.1603,-22.7842
Callitris_columellaris,Callitris,118.5382,-22.839
Callitris_columellaris,Callitris,118.5991,-23.0073
Callitris_columellaris,Callitris,118.8819,-23.2367
Callitris_columellaris,Callitris,118.6422,-23.3158
Callitris_columellaris,Callitris,149.17,-23.58
Callitris_columellaris,Callitris,146.6333,-23.65
Callitris_columellaris,Callitris,133.75,-23.7167
Callitris_columellaris,Callitris,133.45,-23.72
Callitris_columellaris,Callitris,133.75,-23.8167
Callitris_columellaris,Callitris,148.58,-23.87
Callitris_columellaris,Callitris,131.5833,-24.2167
Callitris_columellaris,Callitris,116.9333,-24.3333
Callitris_columellaris,Callitris,151.9761,-24.3901
Callitris_columellaris,Callitris,126.2092,-24.6092
Callitris_columellaris,Callitris,128.7448,-24.6557
Callitris_columellaris,Callitris,153.2772,-24.9242
Callitris_columellaris,Callitris,152.4703,-24.9489
Callitris_columellaris,Callitris,128.3878,-24.9969
Callitris_columellaris,Callitris,120.7237,-25.0193
Callitris_columellaris,Callitris,128.0983,-25.0317
Callitris_columellaris,Callitris,120.7212,-25.1149
Callitris_columellaris,Callitris,121.3439,-25.1318
Callitris_columellaris,Callitris,152.5844,-25.2484
Callitris_columellaris,Callitris,153.2594,-25.2567
Callitris_columellaris,Callitris,120.6496,-25.2625
Callitris_columellaris,Callitris,152.75,-25.2833
Callitris_columellaris,Callitris,149.8667,-25.3333
Callitris_columellaris,Callitris,123.12,-25.37
Callitris_columellaris,Callitris,153.12,-25.37
Callitris_columellaris,Callitris,149.8333,-25.4167
Callitris_columellaris,Callitris,121.7442,-25.448
Callitris_columellaris,Callitris,152.5011,-25.4984
Callitris_columellaris,Callitris,128.5833,-25.7833
Callitris_columellaris,Callitris,128.7704,-25.8902
Callitris_columellaris,Callitris,152.9808,-25.9191
Callitris_columellaris,Callitris,153.076,-25.9901
Callitris_columellaris,Callitris,131.3183,-26.0198
Callitris_columellaris,Callitris,130.3314,-26.134
Callitris_columellaris,Callitris,131.0636,-26.1412
Callitris_columellaris,Callitris,131.3572,-26.1473
Callitris_columellaris,Callitris,130.8333,-26.1667
Callitris_columellaris,Callitris,132.5836,-26.234
Callitris_columellaris,Callitris,121.5833,-26.25
Callitris_columellaris,Callitris,132.1319,-26.2887
Callitris_columellaris,Callitris,132.2619,-26.2887
Callitris_columellaris,Callitris,128.8013,-26.2991
Callitris_columellaris,Callitris,131.6914,-26.3923
Callitris_columellaris,Callitris,151.7134,-26.416
Callitris_columellaris,Callitris,150.05,-26.42
Callitris_columellaris,Callitris,131.1477,-26.4665
Callitris_columellaris,Callitris,131.0827,-26.5407
Callitris_columellaris,Callitris,120.2247,-26.5897
Callitris_columellaris,Callitris,115.0833,-26.7333
Callitris_columellaris,Callitris,151.8761,-26.7401
Callitris_columellaris,Callitris,151.52,-26.83
Callitris_columellaris,Callitris,152.95,-26.85
Callitris_columellaris,Callitris,116.5833,-26.9167
Callitris_columellaris,Callitris,150.38,-26.92
Callitris_columellaris,Callitris,126.3568,-26.9284
Callitris_columellaris,Callitris,133.25,-26.9833
Callitris_columellaris,Callitris,153.1167,-26.9833
Callitris_columellaris,Callitris,151.5175,-27.0152
Callitris_columellaris,Callitris,114.6333,-27.0167
Callitris_columellaris,Callitris,129.8761,-27.0321
Callitris_columellaris,Callitris,153.4177,-27.0817
Callitris_columellaris,Callitris,152.95,-27.0833
